,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2017-18,19.0,BRK,NBA,C,72.0,31.0,20.0,3.3,5.5,0.589,0.1,0.2,0.333,3.2,5.3,0.599,0.596,1.6,2.0,0.776,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2
1,2018-19,20.0,BRK,NBA,C,80.0,80.0,26.2,4.2,7.1,0.59,0.1,0.6,0.133,4.1,6.5,0.629,0.595,2.5,3.5,0.709,2.4,6.0,8.4,1.4,0.5,1.5,1.3,2.3,10.9
2,2019-20,21.0,BRK,NBA,C,70.0,64.0,26.5,4.3,6.6,0.649,0.0,0.1,0.0,4.3,6.6,0.658,0.649,2.4,3.9,0.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1
3,2020-21,22.0,TOT,NBA,C,63.0,45.0,29.6,4.7,7.7,0.618,0.1,0.3,0.316,4.6,7.3,0.631,0.624,3.2,4.6,0.703,3.1,6.9,10.0,1.7,0.5,1.4,1.6,1.5,12.8
4,2020-21,22.0,BRK,NBA,C,12.0,5.0,26.7,3.7,5.4,0.677,0.0,0.0,,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
5,2020-21,22.0,CLE,NBA,C,51.0,40.0,30.3,5.0,8.2,0.609,0.1,0.4,0.316,4.9,7.8,0.623,0.616,3.1,4.5,0.69,3.1,6.8,9.9,1.7,0.5,1.4,1.5,1.5,13.2
6,2021-22,23.0,CLE,NBA,C,56.0,56.0,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1
7,2022-23,24.0,CLE,NBA,C,68.0,68.0,32.6,5.9,9.2,0.644,0.0,0.1,0.1,5.9,9.1,0.653,0.645,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3
8,2023-24,25.0,CLE,NBA,C,42.0,42.0,30.3,6.4,9.9,0.646,0.0,0.0,0.0,6.4,9.9,0.647,0.646,2.7,3.6,0.75,3.6,7.0,10.7,2.8,0.9,1.1,1.8,2.3,15.5
9,Career,,,NBA,,451.0,386.0,27.8,4.9,7.8,0.632,0.0,0.2,0.179,4.9,7.5,0.646,0.634,2.5,3.5,0.708,2.9,6.1,9.0,1.5,0.6,1.3,1.4,2.1,12.3
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4 seasons,,BRK,NBA,,234.0,180.0,24.4,3.9,6.4,0.612,0.0,0.3,0.167,3.9,6.1,0.633,0.616,2.3,3.2,0.698,2.5,5.4,7.9,1.2,0.5,1.4,1.2,2.2,10.1
12,4 seasons,,CLE,NBA,,217.0,206.0,31.6,6.0,9.2,0.646,0.0,0.2,0.2,5.9,9.0,0.655,0.648,2.8,3.8,0.717,3.3,6.9,10.2,1.9,0.7,1.3,1.6,1.9,14.7
